Work Item Type,Title,Description,Priority,Severity,Tags,State,Effort,Area Path
Product Backlog Item,[SECURITY] Verification token expiry not checked during verification,"VerificationPostEndpoint.cs checks only tokenObj.Token == loginValue.token and completely ignores the ExpiresAt field. It relies on TokenCleanupService to delete expired tokens every 5 minutes, leaving a window where expired tokens can be used. Fix: Endpoint must explicitly check tokenObj.ExpiresAt > DateTime.UtcNow before accepting the token. Files: VerificationPostEndpoint.cs",1,2 - High,Security;Backend;Mandatory,New,1,VetStation
Product Backlog Item,[SECURITY] Console logs with auth/debug data left in frontend,"In login.component.ts, verification-page.component.ts, MyAuth.ts, and other components, console.log calls print auth tokens and debug information. Anyone can open the browser console and see sensitive data. Fix: Remove all debug logs from the final version or replace them with a centralized logger that can be disabled in production. Files: login.component.ts, verification-page.component.ts, MyAuth.ts",1,2 - High,Security;Frontend;Mandatory,New,2,VetStation
Product Backlog Item,[BUG] Appointment system lacks basic scheduling integrity,"AppointmentAddEndpoint.cs does not check if a time slot is actually available before booking — it just sets IsAvailable = false without checking the current value. Two appointments can be created for the same slot. Additionally, the endpoint doesn't verify: slot belongs to the chosen employee, slot belongs to the vet station, AnimalId belongs to CustomerId. AppointmentCancelEndpoint.cs and AppointmentRescheduleEndpoint.cs have no authentication. Fix: Check slot availability (WHERE IsAvailable = true in UPDATE), verify slot-employee-station chain, verify animal belongs to the booking user. Files: AppointmentAddEndpoint.cs, AppointmentCancelEndpoint.cs, AppointmentRescheduleEndpoint.cs",1,2 - High,Bug;Backend;Mandatory,New,8,VetStation
Product Backlog Item,[BUG] VetStationEditEndpoint.cs has logic bugs in field updates,"Nullable bool fields are updated based on the old DB value instead of the request value: ""if (_vetStation.InOffice != null) _vetStation.InOffice = vetStation.InOffice;"" — the condition checks the old value, so if the field was null, it can never be set. Same applies to OnField, Parking, Wheelchair, Wifi. Additionally, image upload is bound to Description instead of StationImage — images will never save correctly. Files: VetStationEditEndpoint.cs",1,2 - High,Bug;Backend;Mandatory,New,2,VetStation
Product Backlog Item,[BUG] TimeSlotGetEndpoint.cs has duplicate Day check and missing Year check,"Condition: ""x.SlotDateTime.Day == _date.Day && x.SlotDateTime.Month == _date.Month && x.SlotDateTime.Day == _date.Day"" — .Day is checked twice, .Year is never checked. Slots for March 15, 2026 would also return slots for March 15, 2027, 2028, etc. Fix: Replace with x.SlotDateTime.Date == _date.Date. Also fix fragile manual date parsing (new DateTime(int.Parse(date.Split(""-"")[0]), ...)) — use DateTime.TryParseExact and return BadRequest on invalid format. Files: TimeSlotGetEndpoint.cs",1,2 - High,Bug;Backend;Mandatory,New,1,VetStation
Product Backlog Item,[BUG] CustomerValidator has inverted logic — validation never triggers,"Condition: ""if (!(customer.MembershipLoyalty > 1 && customer.MembershipLoyalty < 0))"" — no number can be simultaneously > 1 and < 0, so the condition in parentheses is always false, and its negation is always true. Validation never activates. Fix: Use || (OR) instead of && (AND). Files: CustomerValidator",1,2 - High,Bug;Backend;Mandatory,New,1,VetStation
Product Backlog Item,[BUG] MainVetController.Edit does not update anything,"Code reads: ""mainvet.Id = _mainvet.Id; _db.SaveChanges();"" — only sets the input ID to the existing entity's ID and calls SaveChanges(). No other property is updated. The edit endpoint exists but does nothing useful. Files: MainVetController",1,2 - High,Bug;Backend;Mandatory,New,2,VetStation
Product Backlog Item,[BUG] AppointmentAddEndpoint adds to EF change tracker before validation,"The endpoint calls _db.Appointment.Add(appointment) before checking if the time slot exists. If slot doesn't exist, BadRequest is returned but the appointment is already in the change tracker. Fix: Always validate first, then add to the change tracker. Files: AppointmentAddEndpoint.cs",2,2 - High,Bug;Backend;Mandatory,New,1,VetStation
Product Backlog Item,[BUG] Frontend authentication is broken,"In my-auth-interceptor.ts, the Authorization header line is commented out — the interceptor does nothing. Additionally, getAuthorizationToken() returns Promise<string> but the interceptor treats it as a plain string without await. AutentifikacijaHelper (auth.ts) has a completely different model with BHS naming that looks copy-pasted from another project. Frontend uses axios directly instead of Angular HttpClient, bypassing Angular interceptors. Fix: Uncomment and fix the interceptor, properly await the async token, use Angular HttpClient consistently. Files: my-auth-interceptor.ts, auth.ts, components using axios",1,2 - High,Bug;Frontend;Mandatory,New,5,VetStation
Product Backlog Item,[BUG] Registration redirects to protected route without login token,"In register.component.ts, after successful registration, this.router.navigate([""home-page""]) is called — but the user has no auth token since they just registered. Fix: After registration, either auto-login the user (issue a token), redirect to login page, or redirect to email verification page. Files: register.component.ts",2,3 - Medium,Bug;Frontend;Mandatory,New,1,VetStation
Product Backlog Item,[BUG] Availability and TimeSlot logic can lead to inconsistent state,"AvailabilityAddEndpoint.cs immediately generates slots for 30 days, while AppointmentGeneratorService (background service) also generates slots — potential duplicates. AvailabilityEditEndpoint.cs changes availability but doesn't regenerate future slots. AvailabilityDeleteEndpoint.cs deletes availability but doesn't clean up future slots. Working day check is commented out in AppointmentGeneratorService. Slots from endpoint vs background service have different SlotDateTime formats. Fix: Consolidate slot generation logic and ensure consistency. Files: AvailabilityAddEndpoint.cs, AvailabilityEditEndpoint.cs, AvailabilityDeleteEndpoint.cs, AppointmentGeneratorService",1,2 - High,Bug;Backend;Mandatory,New,8,VetStation
Product Backlog Item,[BUG] Employee model redefines Id from Person — breaks EF Core TPT,"Employee inherits Person (which has Id), but Employee redeclares its own [Key] public int Id. DataContext.cs has a comment acknowledging this. This causes AdminPanelEndpoints.cs to use ExecuteSqlRaw for manual inserts into Employee, Vet, and MainVet tables. Fix: Refactor inheritance hierarchy — either properly use TPT without redefining Id, or abandon inheritance in favor of composition (separate tables with foreign key relationships). Files: Employee.cs, Person.cs, DataContext.cs, AdminPanelEndpoints.cs",1,2 - High,Bug;Backend;Mandatory,New,8,VetStation
Product Backlog Item,[QUALITY] API returns EF entities instead of DTOs,"Besides PersonGetAllEndpoint and ProfileGetUserInfoEndpoint, this happens in all CRUD controllers in Controllers/ folder, EmployeeAddNewEndpoint.cs, admin endpoints (AdminPanelEndpoints.cs — AddUser, AddEmployee), SpeciesGetAllEndpoint.cs, VetStationGetAllEndpoint.cs, and others. Problems: leaking internal fields (including passwords), coupling frontend to DB schema, no control over serialization. Fix: Create response DTOs for each endpoint with only the fields the client needs to see. Files: All controllers and endpoints returning entities",2,2 - High,Quality;Backend;Mandatory,To Do,8,VetStation
Product Backlog Item,[QUALITY] API returns internal exception messages to client,"Endpoints like PetsGetByIdEndpoint.cs, PetsUpdateOrInsertEndpoint.cs, PersonAddEndpoint.cs have catch blocks returning BadRequest(ex.Message) or BadRequest(ex.InnerException.Message). This can expose stack traces, SQL queries, table names. In InventoryController.Add the error message is literally ""samir"". Fix: Implement global error handling middleware that logs details server-side and returns generic messages to client. Files: Multiple endpoint files, InventoryController",2,2 - High,Quality;Backend;Mandatory,To Do,3,VetStation
Product Backlog Item,[PERF] PersonAddEndpoint loads entire table for duplicate check,"Uses _db.Person.ToList<Person>().Where(x => x.Username == person.Username) — calls .ToList() on the entire Person table then filters in memory. Same in EmployeeAddNewEndpoint. O(n) memory for an O(1) operation. Fix: Replace with _db.Person.AnyAsync(x => x.Username == person.Username). Files: PersonAddEndpoint.cs, EmployeeAddNewEndpoint.cs",2,2 - High,Performance;Backend;Mandatory,New,2,VetStation
Product Backlog Item,[QUALITY] No pagination on list endpoints,"PersonGetAllEndpoint returns all records at once, same for EmployeeGetByVetStationId and all GetAll controllers. Fix: Implement pagination with skip/take parameters or cursor-based pagination. Files: PersonGetAllEndpoint, EmployeeGetByVetStationId, all GetAll controllers",2,3 - Medium,Performance;Backend;Mandatory,To Do,5,VetStation
Product Backlog Item,[QUALITY] ProfileSettingsEditEndpoint allows duplicate email/username,"User can change email or username to a value already used by another user, causing conflicts and login issues. Fix: Before updating, check that the new email/username is not already taken. Files: ProfileSettingsEditEndpoint.cs",2,3 - Medium,Quality;Backend;Mandatory,To Do,2,VetStation
Product Backlog Item,[QUALITY] Missing database indexes on frequently filtered fields,"DataContext.cs has no explicit HasIndex() calls for fields like email, username, etc. Without indexes, every query does a full table scan. Fix: Add indexes via Fluent API in OnModelCreating. Files: DataContext.cs",3,3 - Medium,Performance;Backend;Mandatory,To Do,2,VetStation
Product Backlog Item,[QUALITY] DateTime.Now used instead of DateTime.UtcNow,"Used in auth token log, Google auth registration, and elsewhere. If the server is in a different timezone or uses cloud hosting (usually UTC), times will be inconsistent. Fix: Standardize on UTC throughout the project. Files: Multiple files",3,3 - Medium,Quality;Backend;Mandatory,To Do,2,VetStation
Product Backlog Item,[BUG] Hardcoded backend URL in registration component,"register.component.ts has ""let link = ""https://localhost:44308/api/Person/Add"""" while all other components use Config.address. Other frontend files also have hardcoded URLs. Fix: Centralize all URLs through configuration (Config.address). Files: register.component.ts, other frontend components",2,3 - Medium,Bug;Frontend;Mandatory,New,1,VetStation
Product Backlog Item,[CLEANUP] TokenCleanupService has test class name,"Class is declared as ""public class something : BackgroundService"" — obviously a test name that was never fixed. Fix: Rename to a meaningful name. Files: TokenCleanupService (something.cs)",3,4 - Low,Cleanup;Backend;Mandatory,To Do,1,VetStation
Product Backlog Item,[BUG] Copy-paste error messages in Employee GET endpoints,"EmployeeGetByVetStationIdEndpoint, EmployeeGetBarbersByVetStationId, EmployeeGetNursesByVetStationId, and EmployeeGetVetsByVetStationId all have catch blocks with message ""Could not delete: ..."" even though they are GET endpoints that don't delete anything. Fix: Correct the error messages. Files: Employee GET endpoint files",3,4 - Low,Cleanup;Backend;Mandatory,New,1,VetStation
Product Backlog Item,[BUG] RoleController methods return void instead of ActionResult,"RoleController.Add returns void — client gets no success confirmation. RoleController.Delete also returns void, doesn't check if role exists, and calls ExecuteDelete() then SaveChanges() (double commit). Fix: Return appropriate HTTP status codes. Files: RoleController",2,3 - Medium,Bug;Backend;Mandatory,New,1,VetStation
Product Backlog Item,[QUALITY] Mixed sync/async endpoint patterns,"Some endpoints are async but never use await (e.g., PersonGetAllEndpoint.HandleAsync), while others use await correctly. Async methods without await execute synchronously and generate compiler warnings. Fix: Either use await on async calls or remove the async keyword. Files: Multiple endpoint files",3,3 - Medium,Quality;Backend;Mandatory,To Do,2,VetStation
Product Backlog Item,[CLEANUP] Inconsistent naming and typos in code,"AuthentificationToken (should be Authentication), LoggTime (double g), IpAdress (should be IpAddress), AppointmentDuaration (should be Duration), enviroment.ts (should be environment), verified (lowercase while all others are PascalCase). Fix: Rename consistently. Files: Multiple model and config files",3,4 - Low,Cleanup;Backend;Mandatory,To Do,2,VetStation
Product Backlog Item,[BUG] BirthDate defaults to DateTime.Now on Person model,"If not set explicitly, every user gets today's date as birth date. For Google registration this happens since Google doesn't return birth date. Fix: Make BirthDate nullable or set a meaningful default. Files: Person.cs",3,3 - Medium,Bug;Backend;Mandatory,New,1,VetStation
Product Backlog Item,[BUG] Animal.Name is [Required] but declared as string? (nullable),This is a contradiction that can cause unexpected behavior during validation. Fix: Either remove [Required] or change to non-nullable string. Files: Animal.cs,3,4 - Low,Bug;Backend;Mandatory,New,1,VetStation
Product Backlog Item,[UX] No confirmation dialogs for destructive actions on frontend,"In pets-settings.component.ts (delete/restore flow), admin panel delete actions, and other places, deletion executes immediately on click without a confirmation modal. Fix: Add confirmation modal before all destructive operations. Files: pets-settings.component.ts, admin panel components",2,3 - Medium,UX;Frontend;Mandatory,To Do,3,VetStation
Product Backlog Item,[FEATURE] Dashboard screen not implemented,"Dashboard screen reported as a feature is not found. Frontend routing and components don't contain a real dashboard with meaningful content — home-page is a landing page, not a dashboard. Fix: Implement dashboard as a separate route with relevant content, or remove from feature list. Files: Frontend routing, new dashboard component",2,3 - Medium,Feature;Frontend;Mandatory,To Do,5,VetStation
Product Backlog Item,[CLEANUP] Remove WeatherForecast.cs template file,Default template file from ASP.NET project remains in the repository. Fix: Delete the file. Files: WeatherForecast.cs,4,4 - Low,Cleanup;Backend;Mandatory,To Do,1,VetStation
Product Backlog Item,[CLEANUP] Confusing PetsEndpoint vs PetsEndpoints folder naming,"Folder PetsEndpoint (singular) contains only response DTOs, while PetsEndpoints (plural) contains actual endpoints — confusing duplication. Fix: Consolidate or rename folders for clarity. Files: PetsEndpoint/, PetsEndpoints/",4,4 - Low,Cleanup;Backend;Mandatory,To Do,1,VetStation
